permno,prc,ticker,comnam,ym
84398,125.5,SPY,SPDR S & P 500 E T F TRUST,2011m12
84788,8.655000305175781,AMZN,AMAZON COM INC,2011m12
86868,90.43000030517578,GS,GOLDMAN SACHS GROUP INC,2011m12
84398,131.3200073242188,SPY,SPDR S & P 500 E T F TRUST,2012m1
84788,9.722000122070313,AMZN,AMAZON COM INC,2012m1
86868,111.4700012207031,GS,GOLDMAN SACHS GROUP INC,2012m1
84398,137.0200042724609,SPY,SPDR S & P 500 E T F TRUST,2012m2
84788,8.984500122070312,AMZN,AMAZON COM INC,2012m2
86868,115.1399993896484,GS,GOLDMAN SACHS GROUP INC,2012m2
84398,140.8099975585938,SPY,SPDR S & P 500 E T F TRUST,2012m3
84788,10.1254997253418,AMZN,AMAZON COM INC,2012m3
86868,124.370002746582,GS,GOLDMAN SACHS GROUP INC,2012m3
84398,139.8699951171875,SPY,SPDR S & P 500 E T F TRUST,2012m4
84788,11.59499969482422,AMZN,AMAZON COM INC,2012m4
86868,115.1500015258789,GS,GOLDMAN SACHS GROUP INC,2012m4
84398,131.4700012207031,SPY,SPDR S & P 500 E T F TRUST,2012m5
84788,10.64550018310547,AMZN,AMAZON COM INC,2012m5
86868,95.69999694824219,GS,GOLDMAN SACHS GROUP INC,2012m5
84398,136.1049957275391,SPY,SPDR S & P 500 E T F TRUST,2012m6
84788,11.41750030517578,AMZN,AMAZON COM INC,2012m6
86868,95.86000061035156,GS,GOLDMAN SACHS GROUP INC,2012m6
84398,137.7100067138672,SPY,SPDR S & P 500 E T F TRUST,2012m7
84788,11.66500015258789,AMZN,AMAZON COM INC,2012m7
86868,100.9000015258789,GS,GOLDMAN SACHS GROUP INC,2012m7
84398,141.1600036621094,SPY,SPDR S & P 500 E T F TRUST,2012m8
84788,12.41350021362305,AMZN,AMAZON COM INC,2012m8
86868,105.7200012207031,GS,GOLDMAN SACHS GROUP INC,2012m8
84398,143.9700012207031,SPY,SPDR S & P 500 E T F TRUST,2012m9
84788,12.71600036621094,AMZN,AMAZON COM INC,2012m9
86868,113.6800003051758,GS,GOLDMAN SACHS GROUP INC,2012m9
84398,141.3500061035156,SPY,SPDR S & P 500 E T F TRUST,2012m10
